60,480,460
c,0,20,5
c,40,0,5
c,80,20,5
c,120,0,5
c,160,20,5
c,200,0,5
c,240,20,5
c,280,0,5
c,320,20,5
c,360,0,5
c,400,20,5
c,440,0,5
c,0,60,5
c,40,40,5
c,80,60,5
c,120,40,5
c,160,60,5
c,200,40,5
c,240,60,5
c,280,40,5
c,320,60,5
c,360,40,5
c,400,60,5
c,440,40,5
c,0,100,5
c,40,80,5
c,80,100,5
c,120,80,5
c,160,100,5
c,200,80,5
c,240,100,5
c,280,80,5
c,320,100,5
c,360,80,5
c,400,100,5
c,440,80,5
c,0,140,5
c,40,120,5
c,80,140,5
c,120,120,5
c,160,140,5
c,200,120,5
c,240,140,5
c,280,120,5
c,320,140,5
c,360,120,5
c,400,140,5
c,440,120,5
c,0,180,5
c,40,160,5
c,80,180,5
c,120,160,5
c,160,180,5
c,200,160,5
c,240,180,5
c,280,160,5
c,320,180,5
c,360,160,5
c,400,180,5
c,440,160,5
c,0,220,5
c,40,200,5
c,80,220,5
c,120,200,5
c,160,220,5
c,200,200,5
c,240,220,5
c,280,200,5
c,320,220,5
c,360,200,5
c,400,220,5
c,440,200,5
c,0,260,5
c,40,240,5
c,80,260,5
c,120,240,5
c,160,260,5
c,200,240,5
c,240,260,5
c,280,240,5
c,320,260,5
c,360,240,5
c,400,260,5
c,440,240,5
c,0,300,5
c,40,280,5
c,80,300,5
c,120,280,5
c,160,300,5
c,200,280,5
c,240,300,5
c,280,280,5
c,320,300,5
c,360,280,5
c,400,300,5
c,440,280,5
c,0,340,5
c,40,320,5
c,80,340,5
c,120,320,5
c,160,340,5
c,200,320,5
c,240,340,5
c,280,320,5
c,320,340,5
c,360,320,5
c,400,340,5
c,440,320,5
c,0,380,5
c,40,360,5
c,80,380,5
c,120,360,5
c,160,380,5
c,200,360,5
c,240,380,5
c,280,360,5
c,320,380,5
c,360,360,5
c,400,380,5
c,440,360,5
c,0,420,5
c,40,400,5
c,80,420,5
c,120,400,5
c,160,420,5
c,200,400,5
c,240,420,5
c,280,400,5
c,320,420,5
c,360,400,5
c,400,420,5
c,440,400,5
